,category,title,body
1851,other / misc,memories,q  what would you do w out your memories ? a  forget
1852,other / misc,piano,q  what is the difference between a fish and a piano ? a  you can not tuna fish.
1853,other / misc,messed up,q  what did the seismologist say when he messed up? a  it is not my fault.
1854,animal,animal,q. what animal talks the most? a. the yak.
1856,other / misc,judge,q  what did judge say when the skunk came in the court ? a  odor in the court.
1865,one liners,want to hear a really dirty joke?,two white horses fell in the mud and three came out.
1866,insults,sunlight,"you are so dumb, you drowned when you were bathed in sunlight."
1871,other / misc,london,"i see london, i see france, i see your underpants."
1874,animal,gorilla,why do gorillas have big nostrils? because they have big fingers!!!
1875,one liners,heavy soup,what kind of soup weighs 1000 pounds? won ton soup!
1879,tech,computer--britney,"my computer is like britney spears  cheap, white, and plastic."
1888,blond,out of shampoo,"why did the blonde run out of shampoo? she kept following the instructions  lather, rinse, repeat!"
1909,yo momma,memories,"yo momma is so old, her memories are in black and white!"
1912,yo momma,mail,"yo moma is like a mail box, open all day and all night."
1922,puns,darth vader,q. how did darth vader know what luke skywalker had for christmas? a. he felt his presence!
1923,blond,raking leaves,q. how did the blond injure herself raking leaves? a. she fell out of the tree!
1927,insults,pointless,"if you were any more pointless, you would be a circle."
1928,insults,low iq,if your iq was any lower you would trip on it.
1929,yo momma,class,yo momma is so fat when she sits down in class she sits by everyone.
1930,yo momma,family tree,yo momma is so fat when i put her on the family tree the branch broke.
1931,yo momma,belt size,yo momma is so fat her belt size is the equator.
1943,tech,computer pops,"how do you know, your computer hates you? when it grows and pop ups."
1970,other / misc,analogy,fill in the blank to this odd analogy. quiz is to quizzical as test is to        
1971,yo momma,radar,"yo momma is so fat, she shows up on radar."
1988,other / misc,did you know?,did you know that nobody can lick their elbow?  75  of the people that read this try it 
2005,other / misc,nobody,"remember, whenever someone says that you are nobody, remember nobody is perfect."
2008,other / misc,mother and baby match,what did the mother match say to the baby match? do not scratch your head.
2011,other / misc,teenagers,why did the teenager cross the road? because his parents told him not to.
2016,news / politics,government power,what does the government have but never uses to make life simple? their power!
2019,yo momma,birthday,yo momma so fat that every time she turned around it was her birthday.
2022,yo momma,you are so ugly,you are so ugly your mum has to feed you with a slingshot
2023,one liners,chicken or egg?,which came first   the chicken or the egg? it depends on who got laid first!
2034,puns,davy crockett,"how many ears did davy crockett have? 3   his right ear, his left ear, and his wild front ear."
2040,one liners,biting bugs...,hygiene teacher  how can you prevent diseases caused by biting insects? jose  do not bite any.
2042,one liners,my wife's an angel!,"first guy  proudly    my wife is an angel!  second guy   you are lucky, mine is still alive. "
2043,children,how can one person make so many mistakes...,"teacher  alfred, how can one person make so many mistakes in one day? alfred  i get up early."
2046,one liners,punishment for bigamy,do you know the punishment for bigamy? two mothers in law.
2085,one liners,rehearsal,"if the entire world was a stage and god was the director, what we need is a rehearsal."
2122,lightbulb,blonde light,why can not blondes put in lightbubs? because they keep breaking them with hammers.
2127,one liners,why don't women...,why do not women blink during foreplay? they do not have time.
2128,one liners,what do you call a woman...,what do you call a woman who knows where her husband is every night? a widow.
2132,men / women,another question...,if love is blind is then why is lingerie so popular?
2133,lawyer,skydiving lawyers,what do you call 100 lawyers jumping out of an airplane? skeet
2176,puns,planting an education,what is a plant is favorite school year? kindergarden!!!
2177,puns,egg fun,what did the lunch lady say to the boiled egg? you are in hot water now!!!
2200,redneck,duck tape," 1 rule of a redneck  if duck tape do not fix it  doubt it , mount it on the wall instead."
2205,one liners,exercise,the only reason i would take up jogging is so that i could hear heavy breathing again.
2207,other / misc,did you hear...,"did you hear about the football game with the 0 0 score? never mind, it is pointless."
2212,knock-knock,boo, knock knock   who is there?   boo   boo who?   why are you crying? 
2222,one liners,what's the best form...,what is the best form of birth control after 50? nudity.
2223,one liners,what's the difference...,what is the difference between a girlfriend and a wife? 45 lbs.
2224,one liners,what's the difference...,what is the difference between a boyfriend and a husband? 45 minutes.
2229,one liners,why don't bunnies...,why do not bunnies make noise when they have sex? because they have cotton balls.
2234,insults,you so ugly,your so ugly you remind me of an elephants bottom.
2267,one liners,what did...,"what did the number 0 say to the number 8?  hey, nice belt! "
2277,puns,the dreaded amish flu...,"first, you get a little hoarse. then, you get a little buggy."
2331,one liners,what do you get...,q  what do you get when you cross the atlantic ocean with the titanic? a  halfway.
2340,men / women,on wall in ladies room...,on wall in ladies room   my husband follows me everywhere.  written just below it   i do not. 
2352,lawyer,how can you tell if a lawyer is lying?,how can you tell when a lawyer is lying? his lips are moving.
2369,knock-knock,knocking??,knock knock why are you knocking? i have got a doorbell
2406,one liners,the law of common sense,"never accept a drink from a urologist, nor a friendly handshake from a proctologist."
2407,one liners,the law of reality,"never get into fights with ugly people, they have nothing to lose."
2408,one liners,the law of avoiding oversell,"when putting cheese in a mousetrap, always leave room for the mouse."
2409,one liners,law of physical displacement,sometimes you are the dog. sometimes you are the hydrant
2410,one liners,legal rights,everyone has a right to be stupid. some just abuse the privilege.
2411,one liners,law of probable dispersal,whatever hits the fan will not be evenly distributed.
2412,one liners,law pertaining to divorce,be a good housekeeper. when you leave him ... get a good lawyer ...keep his house
2425,one liners,the easiest way...,the easiest way to find something lost around the house is to buy a replacement.
2426,one liners,never take life seriously...,never take life seriously. nobody gets out alive anyway.
2427,one liners,there are two kinds...,there are two kinds of pedestrians    the quick and the dead.
2428,one liners,life is...,life is sexually transmitted.
2429,one liners,an unbreakable toy is...,an unbreakable toy is useful for breaking other toys.
2430,one liners,health is...,health is merely the slowest possible rate at which one can die.
2431,one liners,the only difference...,the only difference between a rut and a grave is the depth.
2432,one liners,health nuts...,"health nuts are going to feel stupid someday, lying in hospitals dying of nothing."
2434,one liners,the last word,get the last word in  apologize.
2437,one liners,how is it ...,"how is it one careless match can start a forest fire, but it takes a whole box to start a campfire?"
2464,sports,golf ...,golf can best be defined as an endless series of tragedies obscured by the occasional miracle.
2468,sports,scoring golf?,"i play in the low 80 is. if it is hotter than that, i will not play."
2483,animal,what is...,what is black and white and red all over? an embarrassed zebra
2492,one liners,some people say...,"some people say that i am superficial, but that is just on the surface."
2493,one liners,now that food has replaced sex...,"now that food has replaced sex in my life, i can not even get into my own pants."
2494,one liners,marriage changes passion...,marriage changes passion. suddenly you are in bed with a relative.
2495,one liners,i saw a woman...,i saw a woman wearing a sweatshirt with  guess  on it. so i said  implants?  she hit me.
2496,one liners,i don't do drugs.,i do not do drugs. i get the same effect just standing up fast.
2497,one liners,sign,"sign in a chinese pet store   buy one dog, get one flea... "
2498,one liners,i live...,i live in my own little world. but it is ok. they know me here.
2499,one liners,i got a sweater...,i got a sweater for christmas. i really wanted a screamer or a moaner.
2500,one liners,if flying is...,"if flying is so safe, why do they call the airport the terminal?"
2501,one liners,i don't approve...,i do not approve of political jokes. i have seen too many of them get elected.
2502,one liners,there are two sides...,there are two sides to every divorce  yours and shithead is.
2504,one liners,every day,every day i beat my own previous record for number of consecutive days i have stayed alive.
2505,one liners,how come?,how come we choose from just two people to run for president and 50 for miss america?
2506,one liners,smoking section,is not having a smoking section in a restaurant like having a peeing section in a swimming pool?
2507,one liners,why is it?,why is it that most nudists are people you do not want to see naked?
2508,one liners,snowmen,snowmen fall from heaven unassembled.
2511,one liners,not only...,"not only am i redundant and superfluous, but i also tend to use more words than necessary."
2512,one liners,life is...,life is full of uncertainties...or could i be wrong about that?
2523,one liners,a bicycle,a bicycle can not stand alone because it is two tired.
2524,puns,a will,what is the definition of a will?  it is a dead giveaway .
2525,other / misc,time & fruit flies,time flies like an arrow. fruit flies like a banana.
2526,puns,poet,a backward poet writes inverse.
2527,one liners,a boyfriend,"she had a boyfriend with a wooden leg, but broke it off."
2528,one liners,a chicken,a chicken crossing the road is poultry in motion.
2529,one liners,your exorcist,if you do not pay your exorcist you get repossessed.
2530,one liners,a clock,when a clock is hungry it goes back four seconds.
2531,one liners,fully recovered.,not to worry  the man who fell into an upholstery machine is fully recovered.
2532,one liners,kiss his ring,the difference between the pope and your boss.... the pope only expects you to kiss his ring.
2533,one liners,lightning,my mind works like lightning. one brilliant flash and it is gone.
2534,one liners,a path to your door,the only time the world beats a path to your door is if you are in the bathroom.
2537,one liners,my next house,my next house will have no kitchen    just vending machines and a large trash can.
2546,one liners,definition,definition of a teenager? god is punishment for enjoying sex.
2547,one liners,as we slide...,"as we slide down the banister of life, may the splinters never point the wrong way."
2548,one liners,progress,progress in airline flying  now a flight attendant can get a pilot pregnant.
2549,one liners,i remember,i remember when sex was safe and flying was dangerous.
2560,one liners,cool," you certainly look cool.   thanks, you do not look so hot yourself. "
2562,one liners,best friends,"a girl is legs are her best friends, but the best of friends must part.    redd foxx"
2566,one liners,karma, my karma ran over my dogma.   anonymous
2570,blond,supermarket,why does a blonde keep lowering her head in the supermarket? she is looking for low prices.
2571,blond,work,what does a blonde have on her when she is naked? a working uniform.
2572,blond,how to kill a blond,how would you drown a blond? put a mirror at the bottom of the swimming pool
2573,blond,after sex,how does a blond turn the light on after sex? answer  she opens the car door.
2575,blond,blond in a car,why is it good to have a blond in your car? answer  you can park on places for disabled
2577,blond,look,"what does a blond say when she is watching a porn movie? answer   look, me! "
2588,one liners,a journey,the journey of a thousand miles ... begins with a broken fan belt and a leaky tire.
2589,one liners,sex,sex is like air. it is not important... unless you are not getting any.
2590,one liners,two feet,never test the depth of the water with both feet.
2591,one liners,lending results,if you lend someone  20 and never see that person again... it was probably worth it.
2593,one liners,some days...,some days you are the bug. some days you are the windshield.
2594,one liners,don't worry...,do not worry  it only seems kinky the first time.
2595,one liners,good judgment...,"good judgment comes from bad experience, and a lot of that comes from bad judgment."
2596,one liners,two theories,there are two theories to arguing with women. neither one works.
2597,one liners,learning,"generally speaking, you are not learning much when your lips are moving."
2598,one liners,born naked,"we are born naked, wet and hungry, and get slapped on our ass... then things get worse."
2599,one liners,everyone...,everyone seems normal until you get to know them
2600,one liners,hobby,there is a fine line between  hobby  and  mental illness. 
2602,other / misc,a rhyme,"roses are red, roses are yellow  grandfather is teeth are lost in the jello."
2604,one liners,coffee,waitress   would you like your coffee black?  customer   what other colors do you have? 
2607,one liners,your face,sam   where have i seen your face before?  pam   right where it is now. 
2629,one liners,easter,the nice thing about being senile is you can hide your own easter eggs.
2645,one liners,safe?,practice safe eating ...always use condiments.
2646,blond,vrrmm.ert.vrrrm.ert.,what do you call it when you hear vrrrrm.ert.vrmmm.ert? answer  a blond at a blinking red light.
2648,one liners,beauty,beauty is only a light switch away
2650,one liners,fighting for peace...,fighting for peace is like screwing for virginity.
2651,one liners,good looks,"no matter how good she looks, some other guy is sick and tired of putting up with her shit."
2652,one liners,make love,"make love, not war. hell, do both get married!"
2653,one liners,rule of thumb,"a woman is rule of thumb  if it has, tires, or testicles, you are going to have trouble with it."
2657,one liners,sunday skippers,q  what do you call a non churchgoer? a  a seventh day absentist
2668,one liners,mothers of teens,mothers of teens know why animals eat their young.
2669,children,child-proofed,we child proofed our home 3 years ago but they are still getting in!
2671,one liners,he who eats cereal,who eats cereal and plays golf? tony the tiger woods.
2672,one liners,hide-and-seek,why is it hard for dalmatians to play hide and seek? because they are always spotted!
2673,one liners,disobedience,what do you get when you aim a nuclear weapon at a disobedient country? south korean barbecue.
2674,one liners,holy man,what do you call a holy man that fries potatoes? a chipmonk
2679,one liners,coffee??,what kind of coffee was served on the titanic? sanka.
2684,insults,so stupid!,"you are so stupid, that you called my house and asked for my number!"
2690,one liners,dating,what is the best thing about dating a homeless woman? you can drop her off anywhere.
2691,one liners,in-laws vs outlaws,what is the difference between in laws and outlaws? outlaws are wanted.
2692,one liners,sleeping?,what should a woman say to a man she is just had sex with? whatever she wants. he is sleeping.
2699,other / misc,birthday card,"what starts with b, has 2 e is, and ends in r???? birthday cheer!!!!!!!!!!!!!!!!!!!!"
2705,one liners,lorenz's law of mechanical repair:,"after your hands become coated with grease, your nose will begin to itch."
2706,one liners,lowery's law of home repair:,"if it jams, force it. if it breaks, it needed replacing anyway."
2707,one liners,beach's law,interchangeable parts are not.
2708,one liners,lane's law of supply and demand:,the one item you need is always in short supply.
2709,one liners,col. murphy's law of combat:,never forget that your weapon was made by the lowest bidder!
2723,one liners,a recently spotted bumper sticker:, i give evolution two opposable thumbs up. 
2733,one liners,what do you call a sheep...,q  what do you call a sheep that does karate? a  a lamb chop
2734,one liners,why are there so many smiths...,q  why are there so many smiths in the phone book? a  they all have phones.
2738,one liners,bumper sticker:, god give me patience....and make it quick! 
2742,yo momma,flat chested,"your mama is so flat chested, the last time she had a breast was in a bucket at kfc."
2756,one liners,fish artists,what do fish paint with? water colours!
2757,one liners,deposit,where do fish keep their life savings? at the river bank!
2779,one liners,bingo,what has a whole bunch of little balls and screws old ladies? a bingo machine
2784,one liners,wicker box,what is the definition of wicker box? it is what elmer fudd wants to do to madonna.
2786,yo momma,so dumb,yo mama so dumb that she thought taco bell was a mexican phone company.
2787,one liners,mexican!,what does a mexican firefighter name his twin sons? jose and josbe
2796,yo momma,hop scotch,"yo momma is so fat, she plays hopscotch like this   washington, california, nevada, now arizona"
2815,yo momma,vroom vroom,"yo momma is like a nascar race car, she burns rubber everynight!"
2817,one liners,old gynecologists,q. why do women prefer old gynecologists? a. they have shaky hands!
2823,blond,aids,q  why did the blonde wear condoms on her ears? a  she was afraid she might get hearing aids.
2824,blond,look,"q what did the blonde is right leg say to her left leg? a nothing, they have not met yet."
2827,yo momma,pray,"yo momma cooks so bad, your family prays after they eat!"
2829,yo momma,hairy,yo momma so hairy . . . . . she has to have a hair trapper in her kitchen sink.
2831,blond,the pooltable blonde,"blondes are like pool tables   every time you put a dollar in, she will rack your balls."
2841,knock-knock,ketchup,knock knock. who is there? ketchup. ketchup who? ketchup to ya later!
2842,lightbulb,cats,how many cats does it take to screw in a light bulb? none. cats can not hold a light bulb
2843,yo momma,car,yo momma is so fat that a car hit her and she turned around and said  hey! who threw that rock! 
2844,knock-knock,knock knock,knock knock. who is there? to. to who? to you.
2845,animal,ocelot?,how do you titillate an ocelot? oscillate its tit a lot!
2848,yo momma,t.v.,yo momma is so stupid... she site on the t.v and watches the couch.
2849,yo momma,hungry momma!,"yo mama is so fat, she is the reason they declared world hunger."
2850,yo momma,yo mama is like a hockey player,yo mama is like a hockey player. she does not change her pad for three periods.
2851,yo momma,cellulite surfin',"yo momma is so fat, that every time you smack her butt, you can ride the waves!"
2868,one liners,seagulls,"why do seagulls fly over the sea? because if they flew over the bay, they would be called bagels!"
2878,blond,blond light 2,what kind of flashlight do blonds use? the solar powered kind!
2879,yo momma,yo momma so fat,yo mama so fat she can give the homeless a home.
2884,one liners,why?,why do you need a driver is license to buy liquor when you can not drink and drive?
2920,yo momma,weight loss,"yo momma is so fat, she has to go on three weight loss systems."
2921,puns,sense,sometimes people with a lot of cents have little sense.
2922,yo momma,yo mamma so fat,yo mama so fat that she bent over and got arrested for selling crack.
2923,yo momma,yo momma's so tall,"yo momma is so tall, she did a cartwheel and hit jesus."
2924,yo momma,yo mama is so fat,yo mama is so fat she has to get baptized in sea world.
2931,one liners,rabbit,what do you call a rabbit who tells jokes? a funny bunny!
2932,yo momma,lazy,yo momma so lazy she thinks a two income family is where yo daddy has 2 jobs.
2939,men / women,stripped,q what do you call a 300 pound stripper? a broke
2942,animal,a very special cow,q. have you heard of the dyslexic cow who attained enlightenment? a. it kept on repeating oooommm!
2943,puns,why didn't cain please god?,q  why did not cain please god? a  because he just was not able.
2948,one liners,fractions,my survey which i conducted said that 8 out of 4 people do not understand fractions.
2949,knock-knock,bad knock-knock joke,knock knock! who is there? who! who who? you must have the stammers!
2950,insults,ugly,ugly   adjective  a state of being in which you are constantly in. example  you
2951,yo momma,bungee,"yo momma so fat, her bungee cord has to be hooked onto mars."
2952,yo momma,fight in the city,"yo momma so fat, she makes godzilla look like a pocket dragon."
2953,yo momma,secret club,"yo momma so fat, she is the founder of button poppers anonymous."
2954,yo momma,ironing,"yo momma is so fat, she has to iron her clothes on the street."
2958,yo momma,old,"your mama is so old, she farted and dust came out."
2959,yo momma,so ugly,"your mama is so ugly, she stuck her face out the window and cops pulled her over for mooning."
2963,children,steve's mom,jerry  so you have both a nice mommy and a pretty mommy? steve  yup. they are lesbians.
2964,one liners,darwin's insult,hey! i recognize you! you are the third one over on the evolutionary scale!
2967,other / misc,zombie,why did not the zombie cross the road? because he did not have the guts!
2968,yo momma,yo momma,"yo momma is so fat when she stepped on the scale she said,  wow, that is my phone number! "
2969,yo momma,dollar,"yo momma is so fat, when she stepped on a dollar she made change."
2970,yo momma,rolls,"yo momma is so fat, she has more rolls than the bakery shop!"
2972,knock-knock,knock knock,"knock knock who is there ? scold scold who ? scold out here, let me in!"
2974,blond,frozen blond,what do you call frozen blonds? frosted flakes!
2985,yo momma,yo momma so dumb,yo momma so dumb she thought a quarterback was a refund!
2992,blond,blond snowman,why is it so hard to make a blond snowman??? because you have to hollow out its head!!!!!
2993,other / misc,tomato,why did the tomato blush? it saw the salad dressing.
3001,one liners,something funny,what do you call a black person that wants to be and acts just like jackie chan? blackie chan
3011,children,bright,why did the teacher have to put on her glasses during class? because the kids were to bright!
3012,animal,crabs,why do not crabs share? because there shelfish!
3013,sports,the root?,what is the name of the baseball player who sits under a tree? babe root!
3016,knock-knock,doctor,knock knock. who is there? sara. sara who? sara doctor in the house?!
3018,other / misc,a man,a man walked into a bar... and it hurt!
3022,other / misc,tarzan,what is tarzan is favorite christmas song? jungle bells!
3023,animal,what in the world?,what does the turtle do in the olympics? the hurdle run!
3026,animal,why elephants need locksmiths,why did the elephant call the locksmith? because he lost his keys in his trunk!
3027,animal,funny!,how do turtles talk to each other? shellphones!
3028,animal,mouse face,how do you get a mouse to smile? say cheese!
3029,other / misc,hot,"which is faster, hot or cold? hot, because you can catch a cold!"
3030,other / misc,freeze,what did the cop say to the bad popcicle? freeze!
3031,other / misc,50 cents,why could not g unit take the bus? they only had 50 cent!
3032,other / misc,fangs,what is a vampire is favorite holiday? fangs giving!
3036,animal,cats on the phone,what did the cat say to the other cat on the phone? can you hear me ow?
3039,animal,ape sea,which sea will make you go ape? the chimpansea.
3041,other / misc,no ears,"what do you call an alien with no ears? anything you like, he can not hear you."
3042,animal,jail horse,what do you call a horse that escaped from jail? a zebra.
3043,animal,cat exercise,what is a cat is favourite exercise? puss ups!
3044,animal,grizzly fish,what do you get when you cross a fish and a grizzly? a bearacuda.
3045,one liners,psychics?,why do psychics ask so many questions when they supposedly already know the answers?
3046,insults,photographic memory,"everyone has a photographic memory, you just do not have any film."
3047,one liners,telekinesis,all believers in telekinesis raise my hand!
3048,one liners,bad mechanic,"i could not fix your brakes, so instead i made your horn louder."
3049,insults,nature,"do you still love nature, despite what it did to you?"
3051,insults,chocolate,if your brain was chocolate it would not fill an m m
3052,puns,bare arms,wear tank tops and support your right to bare arms.
3056,knock-knock,ding-dong,"knock knock. who is there? avon lady, your door bell is broken."
3058,yo momma,so fat,yo mama so fat when you get on top of her your ears pop!
3059,yo momma,block,"yo mama so fat people jog around her instead of the block, for a longer run!"
3063,bar,an irish man,"an irish man walks out of a bar..............hey, it could happen"
3075,lightbulb,how many flies,"how many flies does it take to screw in a lightbulb? 2, but i do not know how they got in there!"
3080,insults,can't cook,"your cooking is so bad, the homeless give it back!"
3083,blond,the blond's zebra,what did the blond name his pet zebra? spot!
3084,blond,lightbulbs,q  how many blondes does it take to change a lightbulb? a   what is a lightbulb? 
3085,other / misc,pokemon,what is the difference between pokemon and pokewomon? poke balls
3086,yo momma,yo mommas so old.......,yo mommas so old that when she was in school they did not have history.
3087,one liners,f- uck,what starts with the letter f and ends in uck? firetruck
3088,other / misc,osama,why can not osama sleep with any of his 5 wives? because all he sees is bush.
3089,knock-knock,jack,knock knock who is there jack jack who i do not know any jack
3091,lightbulb,dumb lightbulb,why did the lightbulb fail his test? he wasnt bright enough!
3092,animal,bored cow,what does a cow do for entertainment? listen to moo sic.
3095,yo momma,redneck,"yo mamma is such a redneck, when i look at her family tree, it goes straight up."
3096,animal,skunk,what do you call a flying skunk? a smell icopter
3097,yo momma,so fat #3,"yo momma is so fat, she sat on a gamecube and made it into a gameboy advance."
3098,yo momma,so fat #4,"yo mamma is so fat, she sat down in wal mart and lowered the prices."
3099,animal,what do you get?,what do you get when you cross an elephant with darth vador? an elevator
3102,yo momma,so fat #5,"yo momma is so fat when she sees a school bus go by, she says  stop that twinky!! "
3103,redneck,family reunion,you know you are a redneck when you go to a family reunion to find a girlfriend.
3104,redneck,when you find a car....,you know you are a redneck when you mow your lawn and find 10 cars.
3105,yo momma,so fat #6,"yo mamma is so fat, she jumped up and got stuck in the sky."
3106,yo momma,butterfly~~,yo momma is so stupid she threw butter out the window to see a butterfly.
3107,gross,the roof,"if your uncle jack was stuck on a roof, would you help your uncle jack off?"
3110,one liners,the schizophrenic buddhist,q  what do you call a schizophrenic buddhist? a  someone who is at two with the universe.
3111,knock-knock,whos there!,knock knock who is there? mayonaise mayonaise who? mayonaise a lot of jokes on this website.
3115,one liners,child of the corn,q  what did baby corn say to mama corn? a  where is pop corn?
3116,insults,you're so stupid,you are so stupid you got locked in an open convertibale car.
3117,yo momma,donkey,yo momma is so fat. she has more ass than a donkey farm.
3118,yo momma,yo mama so dumb..,yo momma so dumb she took back the donut because it had a hole in it!
3121,lawyer,bucket o crap,q  what is the difference between a lawyer and a bucket of shit ? a  the bucket.
3124,insults,back luck,you are so ugly that you scared away a man eating shark!
3126,yo momma,earth blob,"yo momma so fat, you can see her from space."
3136,insults,you're so slow...,"you are so slow that if you were a train engine, the caboose would be leading."
3137,puns,pencil,why did the pencil cross the road? it was lead!
3143,animal,frog #1,q  why are frogs so happy? a  they eat whatever bugs them!
3148,insults,your breath...,"your breath is so bad, you need a tic tac the size of a watermelon!"
3151,yo momma,when you were born,"yo mama is so fat, when you were born, you came out singin'  it is a small world after all. "
3157,yo momma,dumb,yo momma is so dumb she can not get the ball to touch the ground.
3162,insults,rock,"you are so stupid, you threw a rock at the ground and missed."
3166,insults,ugly tree,did you fall out of the ugly tree and hit every branch on your way down?
3167,insults,stupid: it's whats for breakfast,did you eat a bowl of stupid for breakfast this morning?
3169,yo momma,momma stinks,yo momma stinks so bad she has to use right guard and left guard!
3171,children,random answers,"teacher  larry, name two pronouns. larry  who, me? teacher  that answer is correct."
3172,puns,mississipi,why is mississippi river unusual? because it has four eyes and can not see!
3173,one liners,where did they sign the declaration?,where did they sign the declaration of independence? at the bottom.
3177,one liners,atlas,"atlas is the biggest thief in history, because he held up the whole world."
3178,knock-knock,terra?,knock knock. who is there? terra. terra who? terra reason you will not let me in?
3179,other / misc,luv pink,what do you get when every car in the nation is pink? answer  a pink carnation  the flower 
3183,blond,blonde paint,have you heard about the new blonde paint? it is not too bright but it spreads real easy.
3186,animal,fish,what do you call a horny fish? a blowfish
3192,puns,skin and bones,why do not skeletons ever play music at church? because they do not have any organs!
3194,men / women,"yum, chocolate!",why does hershey is chocolate taste so good? because they are made by women!  her she  hahahaha
3195,puns,golf ball,"a golf ball is a golf ball, no matter how you putt it."
3197,one liners,excuse not to work,my uncle is very superstitious. he will not work any week that has a friday in it.
3198,yo momma,soo fat,yo momma so fat she played pool with the planets!
3202,lawyer,what's the difference?,q  what is the difference between a lawyer and a herd of buffalo? a  the lawyer charges more.
3206,yo momma,so poor,yo momma is so poor everytime someone rings the doorbell the toilet flushes
3207,insults,harass,you are so stupid you thought  harass  was two words!
3209,insults,dog face,"if my dog is face looked like your face, i would shave his ass and make him walk backwards!"
3211,animal,more dirt!!,what is it called when an insect kills themself? pesticide!
3212,knock-knock,knock knock knock,knock knock. who is there? dewey. dewey who? dewey do we  have to listen to all this knocking?
3213,knock-knock,dropping in town!,knock knock. who is there? justin. justin who? justin town and thought i would say hello.
3214,knock-knock,"agua, porfavor.",knock knock? who is there? water. water who? water you doing?
3215,knock-knock,"gulp, gulp",knock knock? who is there? oswald. oswald who? oswald i swallowed  my gum!
3216,knock-knock,don't touch me!,knock knock? who is there? kip. kip who? kip your hands off me!
3217,knock-knock,hard math problem,knock knock? who is there? howie. howie who? howie gonna figure this out?
3220,insults,baby faces,"you have a face like a baby, with a brain to match.   credited to my friend fqzeng."
3235,blond,cars,q  why do blondes drive vws ? a  because they can not spell porsche
3238,yo momma,yo momma so skinny..........,yo momma so skinny she can hula hoop with a cheerio.
3239,one liners,bad day,you know your day is bad if your twin sister forgot your birthday.
3241,redneck,how do you know if you're a redneck?,how do you know if you are a redneck? if you go to a cousin is wedding looking for a girlfriend.
3242,yo momma,so fat,yo momma so fat she went on a sea food diet   she see food and eat it.
3243,knock-knock,mama,knock knock. who is there? yo mama. yo mama who? this is yo mama stop playing.
3244,other / misc,fat mama,"my friend is mom is so fat i was upstairs and when she fell i ran down screaming,  earthquake! "
3245,other / misc,difference,what is the difference between snow men and snow women? snow balls!  ding dong kind 
3246,yo momma,so stupid,yo momma so stupid she went to commit suicide and tried to jump out her basement window.
3247,yo momma,so fat,yo momma so fat she has her own area code.
3249,one liners,cigarettes in hot water,what do you get when you mix cigarettes in hot water? a soggy butt.
3251,insults,japanese amusement parks,why are there so few amusement parks in japan? because they are not tall enough to ride them!
3253,knock-knock,sue you...,knock knock. who is there? sue. sue who? i will sue you if ya do not let me in!
3256,blond,blonde thief,q  how can you tell if a blonde has stolen your bike? a  she is running away with it under her arm.
3260,one liners,tree,did you hear about the tree that made an ash of itself?
3261,yo momma,chilli,"yo momma so dumb, that when we told her it was chilly outside she ran out with a bowl and a spoon."
3263,other / misc,how to serve food in space,q  how do you serve food in space? a  on flying saucers
3267,college,exam answer,exam question  define courage. student answer  this is.
3274,knock-knock,stuck door,knock knock! who is there? yoda! yoda who? yo da door is stuck! lemme in!
3275,one liners,old people,"at weddings old people poke me and say,  you are next!  at funerals, i do the same."
3276,yo momma,so fat,"yo momma so fat, she used pillowcases for socks."
3281,other / misc,joke,"if this is coffee, please bring me some tea. if this is tea, please bring me some coffee."
3289,animal,centipedes,"what goes 99 clump, 99 clump, 99 clump? a centipede with a wooden leg."
3290,knock-knock,swen,knock knock. who is there? swen. swen who? swen are you going let me in!?
3294,insults,brainstorm,the closest you have ever come to a brainstorm is a light drizzle!
3295,blond,national anthem,what does a blond think the last 2 words of the national anthem are? play ball!
3298,men / women,hannibal lecter 'n' britney,what does hannibal lecter call britney spears? dinner at hooters.
3300,insults,fairies,"oh, what a shame. it looks like the ugly fairy kissed you on both cheeks."
3301,one liners,skydiving,what is the hardest part of skydiving? the ground!
3302,one liners,what do you get...,what do you get when you cross a porcupine with a shark? far far away!
3304,one liners,car ride,a mexican and an iraqi terrorist are in a car. who is driving? answer  the police.
3305,other / misc,analogy of sex,analogy of sex  insert the 'quarter' into the  havending machine' and then the 'gumball' comes out.
3308,medical,chicken pox,why did the chicken pox cross the road? he was afraid if he stayed he would be spotted.
3309,children,dentists,how do the kids of dentists get around the neighborhood? on molar skates
3310,other / misc,april fools,what movie is really the sequel to april fools? the may tricks
3311,other / misc,samurai jack,what is samurai jack is favorite fish? swordfish
3312,puns,monsters,what monster was created on april 1? pranken stien
3313,knock-knock,frayed,knock knock! who is there? frayed. frayed who? frayed no one is going to answer the door.
3324,bar,skeleton,"the skeleton walked into the bar and asked,  can i have a beer and a mop? "
3325,other / misc,states,what did tennessee? what arkansas.
3329,other / misc,not yours,what kind of cheese is not yours? nacho cheese
3333,children,maths,the number you have dialed is imaginary. please rotate your phone 90 degrees and try again. 
3335,blond,donuts?,"q  what did the blonde say when she looked in the box of cheerios? a  oh look, donut seeds!"
3342,yo momma,house of mirrors,"yo momma is so ugly, when she went to the house of mirrors, it collapsed."
3343,yo momma,old,yo mommas so old her birth certificate says  expired 
3344,other / misc,burger king does the dairy queen,how did burger king get dairy queen pregnant? he forgot to wrap the  whopper !!!
3348,animal,woodpecker,what do you call a woodpecker without a beak? a headbanger.
